"LPI_final"	"CI_low"	"CI_high"
1	1	1
0.985299129293274	0.95719668468811	1.00741980790899
0.95765030789917	0.904659310070971	1.02231819217636
0.884504917325073	0.761246462595962	0.979010252091079
0.824274600356606	0.711798207859531	0.973429423775357
0.812821546580267	0.666294616005574	0.990432919497879
0.739314282919627	0.595129803163918	0.907910315850324
0.686341706315618	0.551293523295275	0.847978738415893
0.637416720505049	0.508157024978086	0.792070368020527
0.594556419559681	0.479635549431816	0.744330701416207
0.56692868399944	0.456374264297846	0.722421781743616
0.561010610062469	0.454907518888706	0.712656883547365
0.535183772747508	0.436760613103001	0.68879104051257
0.470623781836052	0.371566137917322	0.623424117351066
0.419167512050831	0.325796641150771	0.548775626692825
0.388678294404522	0.30123191619542	0.506385382931228
0.383843051185263	0.287888237345087	0.50057325744229
0.355031059343601	0.267144294994252	0.460512568432754
0.327553651563361	0.244581221406865	0.435677623433147
0.30559453200127	0.228108984508169	0.407587004708573
0.312499356722004	0.229316760416245	0.430297743449386
0.290439148493431	0.212965636353145	0.388081630139144
0.277396653192731	0.203426187554318	0.372115285208791
0.257986322352551	0.185948216343003	0.340310326802073
0.235545791175043	0.167158519371447	0.317327825718613
0.214913356666498	0.151707537943824	0.295019897563863
0.198363806907367	0.140394440976586	0.2705540076936
0.18477702423023	0.129709156163142	0.254413744868398
0.163970665029669	0.112431796574993	0.232177688110752
0.152811612889862	0.102308049052299	0.215014334791346
0.140383931431961	0.0963250591770491	0.198490171488832
0.13375343180986	0.0905328198139247	0.193057294055878
0.12456814727192	0.0808872590534246	0.180435050350938
0.121535182613662	0.0780730379409252	0.174346571494302
0.112284938481488	0.0701406367861664	0.160762933066138
0.0963058563617962	0.0608843469719896	0.141234392897164
0.0882924484540694	0.0558314275171115	0.131314161398144
0.079286376688792	0.0517796379691224	0.115826373063627
0.0700865282003492	0.0449104943744239	0.102309219518942
0.0668119607523619	0.04286011665377	0.0998863984925
0.0620429368309513	0.0389103504784018	0.094330914058317
0.0506598818381054	0.031974209202668	0.0800380213735692
0.0452812461321218	0.0300389360708907	0.0746708819034335
0.0428715538515315	0.0290952731506197	0.0719181631340771
0.0415989344071071	0.0275245228269223	0.0678568500227668
0.0439208042956575	0.0281021598330378	0.0692685234904586
0.0419935065356735	0.0269672676418108	0.0660557065673503
