"LPI_final"	"CI_low"	"CI_high"
1	1	1
0.978415181847481	0.949913238236838	1.01480485410568
0.983687881629069	0.939532370487116	1.02369952188065
0.965618912840018	0.920037478976821	1.00800816015217
0.925538563633026	0.876005186369271	0.969849266254878
0.892309214521027	0.847740598610726	0.940028070405954
0.85289808950766	0.807110757675234	0.896517778027222
0.823169485519627	0.77533065295292	0.866187016910167
0.809603365935169	0.757067269263366	0.854323056072028
0.788479701331611	0.737591523670056	0.832988761668115
0.757920988769786	0.704806967539338	0.813318463950687
0.751625484984894	0.673658008937171	0.838509433798694
0.715670426477342	0.63686423491517	0.798569761904334
0.679438038838089	0.613271631333565	0.759069305823406
0.631670507297266	0.573823449845872	0.713334505405223
0.615750032120655	0.533633664148234	0.711589677936017
0.583603858402854	0.506314660791351	0.692796157842576
0.536446500884757	0.466623726460428	0.644059962138377
0.493282399361296	0.41609065928224	0.596243919920321
0.479619125859417	0.395852917023448	0.592125559430441
0.493870601788167	0.397445696628202	0.615281401829947
0.452478200411563	0.360218204733369	0.569095274515231
0.43661766396576	0.353406985819042	0.545497342264519
0.431752086531452	0.342099934315032	0.544302806883222
0.395463659721682	0.314796257106851	0.501975231886053
0.383742337303779	0.302217450463177	0.485188653453241
0.358493642261265	0.283275888418187	0.449463113707455
0.333851370372272	0.26287381621073	0.420703529856351
0.305551567547873	0.235388282205521	0.381470874664205
0.289979243370083	0.222858710767288	0.362168870087779
0.276966884174357	0.206422889116819	0.352246346926282
0.258409234872422	0.191943238525208	0.330312302445633
0.234573779150653	0.166401321255993	0.301542429193764
0.229563374960441	0.164792217613724	0.300024971059109
0.232216720905756	0.1657980071529	0.297227400910368
0.210097840307434	0.151167494480943	0.277422023027054
0.202450670884789	0.143692164250524	0.269520392470674
0.192147860582166	0.136478300426063	0.261404456312002
0.19057119703652	0.134186347670818	0.258916605697499
0.190247072605063	0.129342932960596	0.258966230814421
0.187862660145348	0.13136498954363	0.264462315104196
0.168780349565998	0.114604036260615	0.234979532669981
0.153606336913776	0.0978385794469501	0.219324288488681
0.14719120317741	0.0936679665252697	0.213132862918798
0.147953473572927	0.0909503352213107	0.209593156067535
0.150326533507082	0.0933659610273824	0.212936463181188
0.15103698620785	0.0945334908355879	0.213914437627455
