"ConcaveL"	"LinearL"	"ConvexL"	"ConcaveH"	"LinearH"	"ConvexH"
1.60052602683055	1.59976446678199	1.59953667985081	1.59663219698411	1.60153221025698	1.59786822882398
1.59997887176726	1.60002278483482	1.59930061085584	1.60303139947188	1.5996243978123	1.60088897731303
1.59957973599519	1.59989877020478	1.59862514480516	1.59773704675995	1.59692503979633	1.59828282830853
1.60026063620679	1.60019227453505	1.59992265116604	1.59821526637765	1.59773297650689	1.60409396412173
1.60046983759372	1.59992567635793	1.59983378952047	1.60125432522186	1.5955395162947	1.60070764918182
1.5983378373214	1.59971359248406	1.5999558725287	1.60376391157637	1.6009609338099	1.59772995014689
1.59982296274996	1.59997300629538	1.59989833163808	1.60237396214668	1.60035432144205	1.60000202264182
1.59959802141152	1.59993670581976	1.59867542834249	1.60071008294055	1.5981450924469	1.59936832887772
1.59996263673804	1.59991976081618	1.59942842762081	1.59825011613908	1.60149412832016	1.59865379268083
1.60109471426689	1.60037788929753	1.60019790702171	1.60494135301563	1.60020832452535	1.60044112229898
1.59942405797722	1.60070735822233	1.59919176923842	1.59713393010178	1.59796420349536	1.60068261556439
1.6000222858381	1.60031680439739	1.60010003759479	1.60159787517614	1.60094748599905	1.60066748142505
1.59993211591342	1.5999904958327	1.5995368903029	1.60003567908303	1.59929921652762	1.5999517808565
1.60047551797122	1.59955039131853	1.59957301163823	1.60036010897464	1.60064709769894	1.59610156680339
1.59978633718588	1.59976101235344	1.59948964793885	1.5989680154424	1.59998430013881	1.59962076572713
1.59964634145931	1.59996713830639	1.59901861886836	1.59845957320856	1.59909251523148	1.60476410309309
1.60034141226129	1.60023051250978	1.6005001326037	1.6012820144443	1.60536340559104	1.60099736882309
1.59957766689659	1.59986960618005	1.59905206809831	1.59707815047104	1.5991988673967	1.6011310259465
1.60047122505306	1.60008263259072	1.59993370608458	1.60061889801014	1.59730166651632	1.59931582803907
1.59988817550711	1.59998218973598	1.59938462095121	1.59964573231346	1.60330378316368	1.60000033177075
1.6006457746497	1.59992007209426	1.59896478039214	1.59907413899019	1.59664625407476	1.59897414138496
1.59965140407099	1.59960721754828	1.5990685516039	1.60084325935829	1.60009861924591	1.5980290297851
1.59950797467083	1.60024453396086	1.59877207797863	1.60102962232926	1.60194863376494	1.60031346062304
1.59989574247237	1.59979464901125	1.59842286641651	1.60348411496999	1.59723523522874	1.60179249654846
1.60036171597021	1.60048079504084	1.59975475509202	1.60029264108438	1.59605405674086	1.60291773835712
1.59961238649006	1.60016336564567	1.60007846100057	1.60283481683662	1.5976905641877	1.5993399057965
1.59905214703566	1.59981269534942	1.5990773971704	1.59893943620947	1.5998862553102	1.60327236839878
1.59942495823462	1.60023272310822	1.59973543505327	1.60247024636131	1.60117908538782	1.60066266786114
1.59981963717773	1.59984971692134	1.60037694319462	1.60142331390441	1.60073274500205	1.60317191917177
1.59997471096626	1.59970175385069	1.6005894352702	1.60033154656634	1.60289766745461	1.59960036413027
1.59953934336746	1.59996707488184	1.60047040126734	1.59903461693139	1.60064734869389	1.60230699754075
1.59945069295771	1.60017011124715	1.60027350934468	1.60148045282339	1.59946046818534	1.60345796021908
1.59951292842354	1.60014848457386	1.59956353293944	1.60072525249855	1.59689051761839	1.59426505822767
1.6002673697647	1.600143630779	1.59896845573956	1.59686164483719	1.60226020227447	1.59272169909949
1.59928823419276	1.59986030681064	1.59987370005341	1.60256675446783	1.5993650068764	1.59737165766959
1.60036670746733	1.60006282554444	1.60081181804197	1.60519847621508	1.59869606320498	1.60229796446295
1.598913080031	1.6000673317486	1.59992919047843	1.60303965905397	1.60318867355328	1.59886574578703
1.59947300744454	1.60019425172518	1.59951606054777	1.60335898139748	1.60075083554663	1.59871160820934
1.59945467616968	1.59949006191411	1.59988472422241	1.60213662345622	1.59976830824211	1.60040334458192
1.59968629107487	1.60050713840967	1.59938944051298	1.6008410031347	1.60117518018238	1.60093948033279
1.60042317915747	1.60006222628088	1.59982562432159	1.60313583239348	1.59961284503866	1.60256698909387
1.60017146986927	1.59967651872162	1.59956089227251	1.60033215071495	1.59810731522002	1.59936615604381
1.60007246699723	1.60009123720219	1.59911358800339	1.60318081001782	1.60106656094429	1.60214254444269
1.6007369624298	1.59937978653767	1.5996691156417	1.60036962969563	1.60028237970984	1.59992895185596
1.59917850033263	1.59977731429659	1.5996211715028	1.59823257251552	1.60328237282668	1.6012284609021
1.59995725595216	1.59964216758543	1.59891362262402	1.59618043486822	1.60208872735532	1.59733752956253
1.59947700391547	1.60014491956624	1.59907307196313	1.59368305822832	1.60054776527119	1.60517015208951
1.5991758289811	1.60022733916822	1.59900506447685	1.60092756548856	1.60030358932995	1.60220240657541
1.59993914534626	1.59974642648358	1.59987449946633	1.60005063671128	1.60028268502822	1.600601662641
1.60085707673102	1.60025026520861	1.5995186399026	1.60309870118763	1.59970853061841	1.59968094777139
1.59947129667603	1.5998572253673	1.59972781014618	1.59737242351724	1.60320986359955	1.60120031024592
1.60054881174038	1.59992255191983	1.59985141412255	1.6036474644695	1.59921816595968	1.60333405230484
1.6002341834948	1.59958722235521	1.59962656490054	1.59984295707018	1.6014373534447	1.60065917590243
1.60036737216035	1.60010133607832	1.5986732422982	1.59906913283186	1.60118805599978	1.59919499430411
1.59942353252163	1.59993227202953	1.59986136519352	1.59802898974487	1.59551522645785	1.59952287661235
1.60049774196645	1.59973607304923	1.60002928996622	1.59996043521371	1.59955359094669	1.60078465822631
1.59966502847694	1.59967805899967	1.59922457674154	1.60043462195128	1.59597563660378	1.59826872867019
1.60051444025363	1.60007914406812	1.59913494935781	1.59963358072143	1.59995117195449	1.60214769560696
1.59953565778697	1.59947760995301	1.59991117950347	1.59991146023597	1.60177403589299	1.59933174672161
1.60067444211793	1.5997867731	1.59884726714347	1.60027462014054	1.60157680375778	1.60089660396436
1.60003910400712	1.59985289488898	1.59920788304599	1.59677668959434	1.59945212479869	1.59930326483266
1.60025983777111	1.59962901457285	1.59996479040637	1.60268159582669	1.60270956603366	1.59802572423147
1.59908862263516	1.59998901089264	1.59972533152064	1.60359584703098	1.60190636520337	1.59494103627334
1.60017070531411	1.59986286203665	1.59942737569931	1.59925353225551	1.59760128521427	1.59956569264283
1.60024911685761	1.59989730386449	1.59952904191066	1.60371122043499	1.6008272855094	1.60196115485022
1.59925563870069	1.60029793418741	1.5991952164417	1.6029341583131	1.59892292752453	1.59958659997696
1.59974234673232	1.59999171434089	1.60003422916897	1.59964950455873	1.60221254878824	1.60420718673024
