"LPI_final"	"CI_low"	"CI_high"
1	1	1
0.983794432601135	0.968522585483312	1.00033855968892
0.977223882771913	0.951389199812568	1.00151383135581
0.956017282056143	0.920129949448273	0.984754529721612
0.935591438754955	0.888995712654939	0.973324272052421
0.929470078381367	0.87539437219835	0.980570632706579
0.899831854844761	0.851406424748885	0.94662960761097
0.870227554262377	0.815451101813366	0.914585733860334
0.838133051332948	0.785157778986232	0.888946333418488
0.818372775443919	0.762609654179214	0.866283285305402
0.796002969259945	0.745481467225514	0.848344525682711
0.780614888660366	0.734797244120527	0.838443892944445
0.760539382193447	0.713118207221564	0.818975140891603
0.726478769953487	0.687498165751668	0.781788817042721
0.696946337822749	0.656449407911756	0.752064538735056
0.683456414816312	0.640313602441435	0.738291649134181
0.672032774646983	0.628585836573911	0.733175720312307
0.655077685111166	0.612944484974169	0.715082188698844
0.63253822190251	0.590999820971233	0.692685619661201
0.617789095953662	0.572395601533806	0.674193112277373
0.621062730878287	0.571487615161559	0.679779575502931
0.605112834207918	0.557631894303532	0.656928523169527
0.587702165196539	0.541880636059486	0.644169505770528
0.581113232806031	0.532277864542785	0.636837317976648
0.562666646256761	0.511080906955071	0.612997201507723
0.554842479905164	0.502152280888501	0.604508716928098
0.5359851719881	0.48488527238717	0.583417928051619
0.523297029944648	0.472665860429062	0.569790464039809
0.505899330506089	0.45772131780425	0.545983373875977
0.492902755099911	0.445188632022523	0.53165020715885
0.484344508915838	0.439624701102541	0.522031716531803
0.475449959349857	0.431426253909874	0.518634343636006
0.455542493989124	0.414449158732458	0.503300615721686
0.454078043102408	0.411493843118164	0.501794533429721
0.449221757149014	0.407352191445238	0.497721702280711
0.43136062923632	0.387800622339154	0.481851278815431
0.420170573949616	0.375303255494261	0.47154052899417
0.41103577051883	0.366627766603704	0.462134981049802
0.399769210243915	0.356066289260695	0.44630298850883
0.389049363125518	0.349200145665484	0.433357872444063
0.387928412166927	0.342361949461566	0.433936782447638
0.367310500206529	0.322480895361194	0.414377052013843
0.356040687602851	0.309691765935563	0.401293436554235
0.358061509028881	0.305366904490899	0.407580169857066
0.358718046163733	0.303211357528005	0.408117337791307
0.365927143675515	0.304361089765504	0.421072457357576
0.363194762586732	0.302549629391658	0.416469439504365
